 datetime,id,id_rem,stazione,lon,lat,quota,riscaldatore,alt_anemometro,alt_sensori,temp_val,temp_max,temp_min,rain,rain_day,rain_rate,rain_rate_max,slp,wind_speed,wind_gust,wind_gust_max,wind_dir,rel_hum,dewpoint,temp_wet_bulb,pm2_5,pm10,air_index,snow_height,radar,satellite
2023-05-18 18:00,17,RE0022,Boretto,10.54347000,44.90599000,22,0,12,3,19.8,19.9,11.3,0.0,0.0,0.0,0.0,1013.9,11.3,20.9,25.7,67,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18:00,18,RE0682,Casina,10.49310000,44.52500000,682,0,3,2,12.5,13.6,8.8,0.0,0.0,0.0,0.0,1016.0,4.8,11.3,25.7,134,82,9.4,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18:00,19,RE1330,Ventasso Laghi,10.27510000,44.38570000,1330,1,4,3,7.7,8.0,5.0,0.0,0.0,0.0,0.0,1015.2,4.8,8.0,25.7,344,94,6.7,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18:00,20,RE0039,Gazzata,10.77930000,44.70240000,39,0,10,2,19.3,20.2,11.1,0.0,0.2,0.0,0.2,1015.3,6.4,12.9,24.1,82,67,12.8,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18:00,21,RE0032,Bagnolo in Piano,10.66941000,44.76264000,32,0,10,10,19.8,19.8,12.1,0.0,0.0,0.0,0.0,1016.6,4.8,12.9,22.5,129,64,12.8,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18:00,23,RE0088,Cavriago,10.51350600,44.69514900,88,0,10,10,18.8,19.3,11.9,0.0,0.0,0.0,0.0,1018.4,8.0,16.1,30.6,212,62,11.1,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18:00,28,RE0678,Villa Minozzo,10.45992000,44.36519000,678,0,4,3,12.7,12.8,8.9,0.0,0.0,0.0,0.0,1017.1,3.2,6.4,14.5,70,77,8.9,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18:00,15,RE1152,Febbio,10.42800000,44.29700000,1152,1,4,3,9.6,9.8,6.3,0.0,0.5,0.0,3.3,1016.6,0.0,0.0,9.7,97,88,7.8,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18:04,27,RE1010,Oss. Cervarezza,10.32710000,44.40170000,1010,1,4,3,9.7,9.7,7.1,0.0,0.2,0.0,0.8,1017.4,10.1,13.7,34.2,128,89,8.0,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18:06,6,RE2057,Monte Cusna,10.40160000,44.28210000,2057,0,7,6,2.1,2.1,-0.8,NA,NA,NA,NA,1017.2,0.0,0.0,0.0,0,98,1.8,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18:08,31,RE0438,Canossa e Rossena,10.32667000,44.43861000,438,0,2,2,15.2,15.6,10.6,0.0,0.0,0.0,0.0,1016.7,6.5,16.2,29.0,47,73,10.4,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18:08,30,RE0965,Civago,10.47520000,44.25160000,965,1,5,5,10.1,10.2,7.1,0.0,1.4,0.0,7.0,1018.3,0.0,3.2,11.9,86,90,8.5,NA,NA,NA,NA,NA,NA,NA
 
