 datetime,id,id_rem,stazione,lon,lat,quota,riscaldatore,alt_anemometro,alt_sensori,temp_val,temp_max,temp_min,rain,rain_day,rain_rate,rain_rate_max,slp,wind_speed,wind_gust,wind_gust_max,wind_dir,rel_hum,dewpoint,temp_wet_bulb,pm2_5,pm10,air_index,snow_height,radar,satellite
2025-01-02 19:41,1,RE1347,Cerreto Laghi,10.24290000,44.29670000,1347,1,10,3,3.4,3.7,1.3,1.0,18.3,6.1,19.8,1014.7,25.7,NA,95.0,202,97,3.3,3.0,NA,NA,NA,NA,NA,NA
2025-01-02 19:40,4,RE0767,Carnola - C.Monti,10.40100000,44.41530000,767,0,10,3,7.8,8.2,5.6,0.2,2.8,0.0,1.4,1013.8,12.9,NA,66.0,265,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02 19:40,6,RE2057,Monte Cusna,10.40160000,44.28210000,2057,0,7,6,-1.8,-1.4,-4.7,NA,NA,NA,NA,1012.3,0.0,0.0,77.0,87,97,-2.2,-2.2,NA,NA,NA,NA,NA,NA
2025-01-02 19:40,7,RE0665,Felina,10.45850000,44.45220000,665,0,10,10,9.0,9.3,4.2,NA,NA,NA,NA,1013.5,20.9,NA,57.9,189,79,5.6,6.9,NA,NA,NA,NA,NA,NA
2025-01-02 19:40,8,RE0518,S. Giovanni,10.56110000,44.52690000,518,0,8,2,7.1,11.4,4.9,0.0,0.0,0.0,0.0,1016.6,6.4,14.5,49.9,269,78,3.3,5.0,NA,NA,NA,NA,NA,NA
2025-01-02 19:40,9,RE0281,Colli Borzano,10.62220000,44.59490000,281,0,8,2,5.0,9.1,4.9,0.0,0.0,0.0,0.0,1016.5,1.6,8.0,14.5,313,92,3.9,4.2,NA,NA,NA,NA,NA,NA
2025-01-02 19:40,10,RE0081,Arceto,10.71980000,44.61970000,81,0,10,10,5.2,8.3,-0.9,0.0,0.0,0.0,0.0,1016.8,3.2,8.0,16.1,292,88,3.3,4.0,NA,NA,NA,NA,NA,NA
2025-01-02 19:41,11,RE0051,Reggio Emilia,10.62190000,44.70980000,51,0,10,10,5.9,7.2,1.7,0.0,0.0,0.0,0.0,1013.4,NA,NA,NA,242,95,5.0,5.3,NA,NA,NA,NA,NA,NA
2025-01-02 19:40,12,RE0198,Quattro Castella,10.44560000,44.63070000,198,0,10,2,4.9,7.6,2.8,0.0,0.0,0.0,0.0,1016.4,NA,NA,NA,NA,92,3.9,4.1,NA,NA,NA,NA,NA,NA
2025-01-02 19:40,13,RE0637,Camporella,10.23450000,44.42140000,637,0,10,2,8.4,8.9,6.4,0.0,7.4,0.0,9.4,1015.2,16.1,38.6,78.9,237,84,6.1,6.8,NA,NA,NA,NA,NA,NA
